Id,Status,Tags,Worktime,Process
d85107f7-1863-4498-adf6-ed899104fcf7,Locked,Conventional,0,ICD
de1f84fb-3f83-4be2-8e57-262485faeaa2,Complete,Redisclosure: 0,632,ICD
2795cd33-e771-420d-bcce-4c8f33feeaab,Locked,,0,ICD
b0e8d75f-786c-4c9a-87c1-438783443aa1,Complete,Conventional;Redisclosure: 1;Run UCD,718,ICD
ec2fe0f5-b498-4396-a724-aeb70611551a,Locked,Conventional,0,ICD
703f53cc-b67b-40ad-9ab3-3099501366ef,Complete,Redisclosure: 0,638,ICD
0172dddb-2fca-41d5-8166-1577fe5478a6,Locked,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 1;System Exception",1249,ICD
43b10929-dfce-45dd-9ebb-049d652c621b,Complete,Redisclosure: 1,618,ICD
dd78f44c-7df7-4167-8dba-c7b29139661f,Locked,,0,ICD
9eaadf99-6e69-48ae-b1d8-3eb8e02ed34f,Complete,Conventional;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 1;Run UCD;System Exception,993,ICD
491657be-ab3f-4f1e-b6ea-61473265cae1,Locked,,5,ICD
b13e5891-04f7-4b83-b4c1-76863f5d0ac2,Complete,Conventional;Redisclosure: 2;Run UCD,634,ICD
104d47b6-8a00-4bf7-9110-2df9ca4fbb83,Locked,Conventional;Redisclosure: 0,0,ICD
c0a7769a-6ff8-4aed-9551-0255ae82be22,Complete,Conventional;Redisclosure: 0;Run UCD,726,ICD
4d820d6a-7a88-4447-9fe4-06978ffd7a80,Locked,Conventional,1127,ICD
0172dddb-2fca-41d5-8166-1577fe5478a6,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 1;System Exception",1249,ICD
4d820d6a-7a88-4447-9fe4-06978ffd7a80,Exception,Conventional;Exception: Automatically set exception at CleanUp,1127,ICD
