Id,Status,Tags,Worktime,Process
005c011c-81a7-4313-a33f-9c882695ca84,Complete,Conventional;Redisclosure: 0;Run UCD,713,ICD
0071b99e-8971-4868-8c6c-d6f4987cc5e0,Complete,Conventional;Redisclosure: 1;Run UCD,280,ICD
0071eafe-ad82-40d4-b399-059456a682b8,Complete,Conventional;Redisclosure: 0;Run UCD,743,ICD
0093457a-d85d-4ff5-b2a2-9b191c071af9,Complete,Conventional;Redisclosure: 0;Run UCD,717,ICD
00c8445d-0541-462f-9d7b-dba26bd22537,Complete,Conventional;Redisclosure: 1;Run UCD,244,ICD
00e21ec4-07f0-4441-839a-e54078c00bb0,Complete,Redisclosure: 0,551,ICD
00f8551b-c780-4331-9e9d-37036e1ec9a2,Complete,Conventional;Redisclosure: 0;Run UCD,840,ICD
01226fe5-7dce-4c17-a00a-f84d64ea1cc7,Complete,Conventional;Redisclosure: 3;Run UCD,266,ICD
015c3bb4-dc9a-46bb-923a-0b7ed8673d25,Complete,Conventional;Redisclosure: 0;Run UCD,699,ICD
01623439-353a-4915-97a8-91670b7eb1f6,Exception,Conventional;Exception: Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 1;System Exception,335,ICD
017e03a9-b2b6-48ef-8302-527b6198bcaf,Complete,Conventional;Redisclosure: 0;Run UCD,685,ICD
01aa6799-c7fb-4f4e-82b5-8cfa51f9e574,Complete,Redisclosure: 1,186,ICD
01ebac3c-9b0d-4828-953d-279d224b8830,Complete,Conventional;Redisclosure: 0;Run UCD,646,ICD
01f04610-1c9a-4b04-b131-7be1379aaa78,Business Exception,Business Exception;Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure;Exception: Business Exception: Closing Disclosure Errors: COC Required - Tolerance Cure,12,ICD
