Id,Status,Tags,Worktime,Process
0010b34f-8542-4096-8be8-21c7146ee2af,Complete,Conventional;Redisclosure: 0;Run UCD,638,ICD
0020402f-159b-4e80-a8d6-9f6028a6dffe,Exception,Conventional;Exception: Automatically set exception at CleanUp;Redisclosure: 0,638,ICD
00439049-12bd-41d9-9f3f-fc2c3c516532,Complete,Conventional;Redisclosure: 3;Run UCD,708,ICD
005c011c-81a7-4313-a33f-9c882695ca84,Complete,Conventional;Redisclosure: 0;Run UCD,713,ICD
0064f558-158a-492c-9c3f-fa0930d68aee,Complete,Redisclosure: 0,1265,ICD
0071b99e-8971-4868-8c6c-d6f4987cc5e0,Complete,Conventional;Redisclosure: 1;Run UCD,280,ICD
009b6312-68a7-457d-ac96-d6d3fbb635be,Complete,Conventional;Redisclosure: 0;Run UCD,668,ICD
00e48d37-d05b-485d-bbc3-509a91cc789a,Exception,Exception: Timout waiting for loan to close;Redisclosure: 0;System Exception;Timout waiting for loan to close,994,ICD
01176fd6-6c7c-4f31-a2d7-041a5fcb3cbb,Complete,Redisclosure: 1,637,ICD
0130a376-0d7a-4a2b-ad2e-75d197c92c5c,Complete,Conventional;Redisclosure: 1;Run UCD,730,ICD
013957b1-da70-4562-888f-a3041cd20a42,Complete,Conventional;Redisclosure: 0;Run UCD,740,ICD
0147e962-9712-4c7b-b9bd-eb2966fc43b1,Complete,Conventional;Redisclosure: 0;Run UCD,1093,ICD
01a4c491-e347-4269-8894-02ce5e001a80,Complete,Conventional;Redisclosure: 1;Run UCD,732,ICD
01aa6799-c7fb-4f4e-82b5-8cfa51f9e574,Complete,Redisclosure: 1,186,ICD
01b29d8c-c30d-4ae3-82f8-d9102e3245e2,Complete,Redisclosure: 1,156,ICD
01c7961c-df6e-40cf-96d3-c6127c0aabac,Complete,Conventional;Redisclosure: 1;Run UCD,237,ICD
01d866a7-6985-45fc-8a59-d73d16441990,Complete,Redisclosure: 1,147,ICD
01f83921-1539-4bd3-a422-6037f9b82056,Complete,Conventional;Redisclosure: 0;Run UCD,693,ICD
02017bb0-d46f-4270-afc6-ac40a59a5c75,Complete,Redisclosure: 0,583,ICD
0201900e-c831-4aaa-a4b6-72654dfc1534,Complete,Redisclosure: 1,163,ICD
02a25bbf-bccc-4713-921f-92cba1d53be0,Complete,Conventional;Redisclosure: 0;Run UCD,756,ICD
02a8b455-62dc-4a24-bdcc-ecb0ecb71f23,Complete,Conventional;Redisclosure: 0;Run UCD,632,ICD
02aa1df6-0391-4a73-867b-0f7b14ab7cbf,Complete,Conventional;Redisclosure: 2;Run UCD,222,ICD
02dfce50-8a47-4a6f-8d44-ada1a865130b,Complete,Redisclosure: 0,595,ICD
02fa7446-b5fc-455a-bc07-4876f2350acc,Exception,Exception: Timout waiting for loan to close;Redisclosure: 0;System Exception;Timout waiting for loan to close,1048,ICD
02feee37-290b-45c6-b4ed-4984fd9488b0,Complete,Redisclosure: 1,194,ICD
030086a3-453f-4a92-b198-b5a92dbb9af2,Complete,Conventional;Redisclosure: 0;Run UCD,724,ICD
0342799d-5a57-4cb5-bfe1-66f34be5b28d,Complete,Redisclosure: 0,590,ICD
03cedce4-b992-40f1-b56a-08de889bc536,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load;System Exception",924,ICD
03df3e81-d8db-441d-b5c9-254c71c883cf,Complete,Redisclosure: 0,623,ICD
040b5c83-dd89-4d62-a265-7ec8ebd20b3d,Business Exception,[Lennar Mortgage - Closing Docs Bot] :: [Order Docs - RegZ CD] = [Order Docs Button not Enabled];Business Exception;Conventional;Exception: [Lennar Mortgage - Closing Docs Bot] :: [Order Docs - RegZ CD] = [Order Docs Button not Enabled],517,ICD
041b7075-aa28-4e4c-b37f-dc059edd137e,Complete,Conventional;Redisclosure: 0;Run UCD,680,ICD
0455536b-2130-4d77-8982-ebc29cfd993e,Exception,Conventional;Exception: Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms - Unable to update data via Encompass API - Cause: Loan Locked by User;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms - Unable to update data via Encompass API - Cause: Loan Locked by User;Redisclosure: 1;System Exception,318,ICD
0469350d-7d3c-4656-b020-feecf6bcee76,Complete,Conventional;Redisclosure: 1;Run UCD,630,ICD
04825334-8d77-40e0-bf7d-8de1cd0b4f51,Complete,Redisclosure: 0,565,ICD
04a52d31-a435-4f1a-8275-260bbb20a09a,Complete,Conventional;Redisclosure: 0;Run UCD,703,ICD
04bf3b15-d6e3-49e1-8f9a-b6069f0147f6,Complete,Redisclosure: 0,618,ICD
04e2d41c-90a5-440c-922f-6ee6f8a83192,Complete,Conventional;Redisclosure: 0;Run UCD,718,ICD
05013045-18b6-4bf4-b31a-5b06b842372f,Complete,Conventional;Redisclosure: 0;Run UCD,712,ICD
0556ea05-0559-4af1-b38d-8215f3e2fba3,Complete,Redisclosure: 0,595,ICD
056079c7-1722-45c7-b863-a20af7625389,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.] - Unable to update data via Encompass API - Cause: Loan Locked by User;Conventional;Redisclosure: 1;System Exception,305,ICD
0572f7ad-6dcb-44aa-9a4b-9f3f5b27d173,Complete,Conventional;Redisclosure: 0;Run UCD,798,ICD
05bc0b21-0fef-49a6-8cee-6e2f36877e98,Complete,Conventional;Redisclosure: 1;Run UCD,247,ICD
05c52339-166c-461f-a2f9-6587118469e4,Exception,Exception: Timout waiting for loan to close;Redisclosure: 0;System Exception;Timout waiting for loan to close,1174,ICD
05eba155-e482-46d6-aa56-a3f9faac3ee0,Complete,Conventional;Redisclosure: 0;Run UCD,690,ICD
05f59467-7e89-44a3-861c-d478dfc26beb,Complete,Conventional;Redisclosure: 2;Run UCD,662,ICD
06046c25-c581-48cd-9419-5e99af384f7f,Complete,Conventional;Redisclosure: 0;Run UCD,660,ICD
0607416c-6921-4d17-ba6d-2c26d21f4d82,Complete,Conventional;Redisclosure: 1;Run UCD,229,ICD
062d8773-fe7e-4fd2-b5b6-45ecf0bf34c9,Complete,Conventional;Redisclosure: 1;Run UCD,367,ICD
063f68c1-cda4-4135-acdc-54bce8ac4132,Complete,Redisclosure: 0,604,ICD
0668396e-1422-496e-8b3d-aeb930aa1b15,Exception,"Conventional;Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load - Unable to update data via Encompass API - Cause: Loan Locked by User;Exception: Encompass - Loan - RegZ - CD :: RegZ - CD Form - CD Issue Date = Missing Wdw , page did not load - Unable to update data via Encompass API - Cause: Loan Locked by User;System Exception",892,ICD
06723eb9-6b4c-4e1e-9cc3-af7dc4bb2e8d,Complete,Redisclosure: 1,169,ICD
06c58ef2-f3e4-46d6-a2fe-4c25ba311253,Complete,Conventional;Redisclosure: 0;Run UCD,687,ICD
06fe806e-1b7a-4b02-89c0-744ce71b5bd0,Exception,[Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.] - Unable to update data via Encompass API - Cause: Loan Locked by User;Conventional;Exception: [Encompass Dev Connect API] :: [Update Field Values] = [Status Code Not Approved: 409 The remote server returned an error: (409) Conflict.] - Unable to update data via Encompass API - Cause: Loan Locked by User;Redisclosure: 1;System Exception,258,ICD
0728a292-40cd-489a-aaa7-f2c6025089a2,Exception,Exception: Timout waiting for loan to close;Redisclosure: 1;System Exception;Timout waiting for loan to close,1447,ICD
0743ecd2-8545-4df8-98fc-e5819a7aa3b2,Complete,Redisclosure: 0,575,ICD
07486487-385b-4097-9ee1-d81e200093ad,Complete,Conventional;Redisclosure: 0;Run UCD,662,ICD
074b832a-490e-4e69-8733-16f333bdee7b,Complete,Conventional;Redisclosure: 0;Run UCD,628,ICD
07c4026b-de4a-41ee-bdd4-3fe71f9e2664,Complete,Conventional;Redisclosure: 1;Run UCD,237,ICD
0804f309-318e-4636-bfca-7d4d25462624,Complete,Redisclosure: 0,619,ICD
0812c15d-b0a4-4357-97f8-ff69aa99b925,Complete,Redisclosure: 0,609,ICD
081ac538-c159-4c2c-bcc1-47c1f5829295,Complete,Conventional;Redisclosure: 0;Run UCD,662,ICD
083db25e-924b-4210-af50-a66556e86bf0,Complete,Conventional;Redisclosure: 0;Run UCD,777,ICD
087968b5-db19-4ee0-bbde-a8d58c95bcf6,Complete,Conventional;Redisclosure: 0;Run UCD,662,ICD
08bf7a00-2146-4d16-bc89-99bbe8603b69,Complete,Conventional;Redisclosure: 0;Run UCD,1108,ICD
08ed3971-8d9c-4ed6-be1c-dc62fa97cc61,Complete,Redisclosure: 1,664,ICD
0929b68f-bf8e-46a4-b958-ed11af12e6fe,Complete,Conventional;Redisclosure: 2;Run UCD,662,ICD
0938b669-0c68-4cd7-b81e-0cff21a848cd,Exception,Conventional;Exception: Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 1;System Exception,334,ICD
096b3803-c1d9-446c-8598-d44a0f950ce9,Complete,Conventional;Redisclosure: 1;Run UCD,662,ICD
09cc1c38-1545-4b58-a0be-27d6031ddf9b,Exception,Conventional;Exception: Automatically set exception at CleanUp,1126,ICD
09ce6038-6708-4871-b1a4-5b96083f5f6d,Complete,Conventional;Redisclosure: 1;Run UCD,227,ICD
09d3dee1-7b93-4d43-bb66-9701af460172,Complete,Redisclosure: 1,833,ICD
09e291f3-9049-486e-a73c-8b4616609d45,Exception,Conventional;Exception: Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Failed to perform step 1 in Read Stage 'Is Forms Selected?' on page 'Click - eFolder' - Unable to match any Active Accessibility elements to the supplied query terms;Redisclosure: 0;Redisclosure: 1;Run UCD;System Exception,1086,ICD
09f307b4-0e70-4caa-b116-942654dec723,Complete,Redisclosure: 0,688,ICD
0a396dc8-ea93-486a-ab6b-cb2023e93957,Complete,Conventional;Redisclosure: 0;Run UCD,719,ICD
0a3d920a-ccf9-4bed-b2c0-074c9f14189a,Complete,Conventional;Redisclosure: 2;Run UCD,217,ICD
